date,closest_day_forecast,base_forecast: 1 day(s),base_forecast: 7 day(s),mean_forecast,MAPE_forecast,real_values
2017-12-01 12:00:00,0.009,0.031,0.009,0.03246511627906976,0.02233333338415604,
2017-12-01 12:30:00,0.009,0.01,0.027,0.03420930232558139,0.021000000049246476,
2017-12-01 13:00:00,0.008,0.048,0.06,0.036930232558139535,0.02037500009268488,
2017-12-01 13:30:00,0.009,0.121,0.009,0.043674418604651155,0.023000000297736647,
2017-12-01 14:00:00,0.03,0.012,0.009,0.052976744186046504,0.022666666779912772,
2017-12-01 14:30:00,0.061,0.009,0.044,0.05006976744186045,0.023312500156133804,
2017-12-01 15:00:00,0.016,0.008,0.039,0.04537209302325581,0.022700000153329573,
2017-12-01 15:30:00,0.008,0.043,0.009,0.05544186046511629,0.02083333350375967,
2017-12-01 16:00:00,0.016,0.067,0.178,0.08669767441860464,0.028166666802158874,
2017-12-01 16:30:00,0.1689999999999999,0.059,0.391,0.08209302325581395,0.02273077024031691,
2017-12-01 17:00:00,0.197,0.058,0.114,0.10432558139534885,0.0661071405422799,
2017-12-01 17:30:00,0.181,0.125,0.042,0.1057906976744186,0.07064285435115869,
2017-12-01 18:00:00,0.144,0.079,0.037,0.10509302325581396,0.04038636505408033,
2017-12-01 18:30:00,0.138,0.113,0.08,0.08072093023255815,0.03944444539988667,
2017-12-01 19:00:00,0.154,0.094,0.08,0.07872093023255813,0.04020000157355604,
2017-12-01 19:30:00,0.073,0.056,0.036,0.07369767441860466,0.03744444625044173,
2017-12-01 20:00:00,0.091,0.027,0.032,0.07125581395348839,0.03838461590397553,
2017-12-01 20:30:00,0.121,0.21,0.109,0.06193023255813953,0.02830000386802404,
2017-12-01 21:00:00,0.039,0.06,0.067,0.08097674418604651,0.030933333641676358,
2017-12-01 21:30:00,0.026,0.068,0.057,0.04823255813953488,0.019650000356262708,
2017-12-01 22:00:00,0.025,0.026,0.024,0.05174418604651162,0.01950000038155275,
2017-12-01 22:30:00,0.049,0.042,0.021,0.043581395348837204,0.018944444632661258,
2017-12-01 23:00:00,0.073,0.068,0.018,0.035906976744186046,0.02116666676456601,
2017-12-01 23:30:00,0.009,0.062,0.067,0.03695348837209302,0.020125000088983512,
2017-12-02 00:00:00,0.009,,0.037,0.03776086956521739,0.020666666748056676,
2017-12-02 00:30:00,0.009,,0.026,0.03115217391304348,0.017375000053741787,
2017-12-02 01:00:00,0.022,,0.019,0.027195652173913037,0.015100000029647623,
2017-12-02 01:30:00,0.062,,0.04,0.04513043478260869,0.021833333562643817,
2017-12-02 02:00:00,0.022,,0.049,0.03741304347826087,0.018083333493913004,
2017-12-02 02:30:00,0.009,,0.009,0.029326086956521735,0.018500000045278017,
2017-12-02 03:00:00,0.009,,0.009,0.028804347826086946,0.01870000005443202,
2017-12-02 03:30:00,0.009,,0.009,0.03304347826086956,0.019833333407950408,
2017-12-02 04:00:00,0.009,,0.046,0.03691304347826087,0.023500000106614006,
2017-12-02 04:30:00,0.037,,0.041,0.03254347826086956,0.018625000072123362,
2017-12-02 05:00:00,0.059,,0.009,0.033695652173913036,0.02033333338456263,
2017-12-02 05:30:00,0.01,,0.01,0.03413043478260869,0.020750000039278568,
2017-12-02 06:00:00,0.009,,0.018,0.03454347826086956,0.020300000052268497,
2017-12-02 06:30:00,0.009,,0.094,0.0377391304347826,0.02070000007442406,
2017-12-02 07:00:00,0.009,,0.647,0.05882608695652173,0.021891304403346617,
2017-12-02 07:30:00,0.009,,0.189,0.05802173913043478,0.023833333431662773,
2017-12-02 08:00:00,0.027,,0.069,0.062000000000000006,0.029250000087265336,
2017-12-02 08:30:00,0.099,,0.187,0.07495652173913042,0.028687500253458356,
2017-12-02 09:00:00,0.031,,0.1369999999999999,0.05773913043478259,0.024666666737536584,
2017-12-02 09:30:00,0.059,,0.101,0.061673913043478246,0.027142857250796997,
2017-12-02 10:00:00,0.158,,0.046,0.06465217391304347,0.023833333465011434,
2017-12-02 10:30:00,0.04,,0.008,0.06282608695652173,0.019050000336476452,
2017-12-02 11:00:00,0.009,,0.011,0.06678260869565215,0.021230769352091082,
2017-12-02 11:30:00,0.009,,0.075,0.05158695652173913,0.025333333402183616,
2017-12-02 12:00:00,0.009,,0.255,0.07226086956521739,0.024250000157740533,
2017-12-02 12:30:00,0.068,,0.081,0.07289130434782608,0.02361111135841199,
2017-12-02 13:00:00,0.12,,0.049,0.049043478260869564,0.022600000140557026,
2017-12-02 13:30:00,0.087,,0.061,0.05684782608695651,0.02400000011975892,
2017-12-02 14:00:00,0.009,,0.048,0.0547391304347826,0.022333333511575234,
2017-12-02 14:30:00,0.009,,0.009,0.06980434782608695,0.023850000118768876,
2017-12-02 15:00:00,0.008,,0.04,0.054934782608695644,0.02131250008324148,
2017-12-02 15:30:00,0.04,,0.099,0.0736304347826087,0.02086000037352726,
2017-12-02 16:00:00,0.05,,0.074,0.10858695652173914,0.0315277779373625,
2017-12-02 16:30:00,0.009,,0.014,0.1261304347826087,0.02656521755178824,
2017-12-02 17:00:00,0.008,,0.039,0.1862173913043478,0.049944444582363,
2017-12-02 17:30:00,0.009,,0.062,0.24639130434782605,0.07265000026114052,
2017-12-02 18:00:00,0.057,,0.116,0.26960869565217394,0.07762500014125459,
2017-12-02 18:30:00,0.753,,0.288,0.30513043478260865,0.12840000019393782,
2017-12-02 19:00:00,0.227,,0.252,0.30821739130434783,0.1253750003211136,
2017-12-02 19:30:00,0.143,,0.468,0.23360869565217388,0.05707143902079557,
2017-12-02 20:00:00,0.838,,0.102,0.20986956521739134,0.06986363738735385,
2017-12-02 20:30:00,0.21,,0.158,0.15613043478260868,0.08819987587795376,
2017-12-02 21:00:00,0.887,,0.119,0.1812391304347826,0.04791666784894804,
2017-12-02 21:30:00,0.182,,0.026,0.10326086956521739,0.05733333180989522,
2017-12-02 22:00:00,0.076,,0.096,0.08873913043478263,0.02950000011062139,
2017-12-02 22:30:00,0.076,,0.034,0.07015217391304347,0.020868421219559757,
2017-12-02 23:00:00,0.105,,0.064,0.06104347826086956,0.02125000028146837,
2017-12-02 23:30:00,0.034,,0.064,0.03847826086956522,0.021625000056328687,
2017-12-03 00:00:00,0.009,,0.015,0.03565957446808511,0.02233333343321555,0.05
2017-12-03 00:30:00,0.044,,0.009,0.036531914893617026,0.018625000148647576,0.036
2017-12-03 01:00:00,0.053,,0.02,0.034255319148936175,0.018600000102857953,0.009
2017-12-03 01:30:00,0.009,,0.064,0.03057446808510638,0.01650000008980976,0.009
2017-12-03 02:00:00,0.009,,0.015,0.034659574468085104,0.01983333341116175,0.035
2017-12-03 02:30:00,0.019,,0.009,0.032595744680851066,0.018125000061105456,0.053
2017-12-03 03:00:00,0.064,,0.019,0.033382978723404254,0.017666666742586008,0.015
2017-12-03 03:30:00,0.011,,0.064,0.034021276595744686,0.019375000073515627,0.078
2017-12-03 04:00:00,0.009,,0.013,0.03331914893617021,0.01966666673425784,0.011
2017-12-03 04:30:00,0.009,,0.009,0.03048936170212766,0.01687500005872642,0.063
2017-12-03 05:00:00,0.062,,0.013,0.036468085106382976,0.021625000060634864,0.065
2017-12-03 05:30:00,0.024,,0.062,0.036170212765957444,0.02030000007967669,0.035
2017-12-03 06:00:00,0.009,,0.024,0.045659574468085114,0.02281250009982542,0.009
2017-12-03 06:30:00,0.009,,0.009,0.08427659574468085,0.023423077168166707,0.01
2017-12-03 07:00:00,0.042,,0.009,0.07125531914893617,0.029204545539355847,0.009
2017-12-03 07:30:00,0.043,,0.047,0.06487234042553193,0.038599999452151694,0.224
2017-12-03 08:00:00,0.009,,0.075,0.08295744680851064,0.02556250221715207,0.128
2017-12-03 08:30:00,0.027,,0.221,0.06823404255319149,0.02321428674935005,0.044
2017-12-03 09:00:00,0.121,,0.48,0.054553191489361705,0.02275000016112358,0.031
2017-12-03 09:30:00,0.14,,0.076,0.04680851063829788,0.0221000002593375,0.014
2017-12-03 10:00:00,0.061,,0.109,0.05504255319148935,0.020019230988787502,0.064
2017-12-03 10:30:00,0.01,,0.031,0.03568085106382979,0.020300000075854346,0.023
2017-12-03 11:00:00,0.014,,0.009,0.035574468085106385,0.020000000075848717,0.008
2017-12-03 11:30:00,0.073,,0.026,0.038,0.02141666672578059,0.009
2017-12-03 12:00:00,0.069,,0.06,0.049340425531914894,0.021923077056827937,0.039
2017-12-03 12:30:00,0.06,,0.086,0.06336170212765958,0.02418181842133936,0.048
2017-12-03 13:00:00,0.065,,0.008,0.048148936170212764,0.023250000148943153,0.009
2017-12-03 13:30:00,0.126,,0.1689999999999999,0.06440425531914894,0.025800000156439875,0.128
2017-12-03 14:00:00,0.092,,0.061,0.06763829787234044,0.025500000299483808,0.081
2017-12-03 14:30:00,0.068,,0.07,0.061,0.02060000021825168,0.089
2017-12-03 15:00:00,0.108,,0.08,0.10359574468085106,0.02950000027316631,0.024
2017-12-03 15:30:00,0.075,,0.055,0.33551063829787237,0.13678571437559173,0.255
2017-12-03 16:00:00,0.119,,0.056,0.4002340425531915,0.18825000024930547,1.122
2017-12-03 16:30:00,1.06,,0.239,0.3346808510638298,0.0868333334369774,1.211
2017-12-03 17:00:00,1.482,,0.067,0.2503404255319149,0.044071428734969526,0.789
2017-12-03 17:30:00,0.986,,0.026,0.13172340425531912,0.04389285730880898,0.211
2017-12-03 18:00:00,0.146,,0.025,0.10374468085106382,0.03538464017503264,0.172
2017-12-03 18:30:00,0.104,,0.068,0.08304255319148936,0.06342856737573305,0.153
2017-12-03 19:00:00,0.185,,0.055,0.09342553191489361,0.07289999874691126,0.152
2017-12-03 19:30:00,0.132,,0.036,0.09691489361702127,0.05224999947742245,0.111
2017-12-03 20:00:00,0.092,,0.148,0.07734042553191489,0.025416669515042855,0.065
2017-12-03 20:30:00,0.071,,0.111,0.07097872340425533,0.03370000056808763,0.031
2017-12-03 21:00:00,0.088,,0.049,0.06942553191489362,0.053928564611650756,0.074
2017-12-03 21:30:00,0.165,,0.023,0.06040425531914893,0.021928577389263546,0.16
2017-12-03 22:00:00,0.078,,0.028,0.052936170212765955,0.019450000271305688,0.041
2017-12-03 22:30:00,0.08,,0.063,0.03889361702127659,0.020750000210351602,0.04
2017-12-03 23:00:00,0.075,,0.011,0.039595744680851065,0.020500000148343137,0.064
2017-12-03 23:30:00,0.062,,0.009,0.036468085106382976,0.019333333462847446,0.027
2017-12-04 00:00:00,0.025,0.05,0.025,0.03769767441860465,0.023166666748962554,0.01
2017-12-04 00:30:00,0.059,0.036,0.059,0.0333720930232558,0.017750000130742717,0.009
2017-12-04 01:00:00,0.01,0.009,0.01,0.03676744186046512,0.018666666824859048,0.065
2017-12-04 01:30:00,0.009,0.009,0.009,0.034325581395348824,0.021166666733405354,0.02
2017-12-04 02:00:00,0.021,0.035,0.021,0.02972093023255813,0.01875000003493856,0.009
2017-12-04 02:30:00,0.063,0.053,0.063,0.040162790697674415,0.020666666842084968,0.015
2017-12-04 03:00:00,0.087,0.015,0.087,0.040023255813953475,0.021000000177050983,0.063
2017-12-04 03:30:00,0.009,0.078,0.009,0.03511627906976743,0.02064285720177858,0.018
2017-12-04 04:00:00,0.013,0.011,0.013,0.032837209302325567,0.019875000059185077,0.009
2017-12-04 04:30:00,0.068,0.063,0.068,0.041790697674418585,0.02237500018449522,0.01
2017-12-04 05:00:00,0.063,0.065,0.063,0.0327906976744186,0.021666666713749224,0.088
2017-12-04 05:30:00,0.031,0.035,0.031,0.038465116279069754,0.020250000088780862,0.027
2017-12-04 06:00:00,0.009,0.009,0.009,0.043767441860465106,0.020437500435811846,0.016
2017-12-04 06:30:00,0.009,0.01,0.009,0.03597674418604648,0.020000000060821675,0.015
2017-12-04 07:00:00,0.018,0.009,0.018,0.03834883720930232,0.02007142860154963,0.061
2017-12-04 07:30:00,0.062,0.224,0.062,0.07411627906976742,0.02791666677149408,0.067
2017-12-04 08:00:00,0.036,0.128,0.036,0.08009302325581392,0.018403857848125642,0.046
2017-12-04 08:30:00,0.103,0.044,0.103,0.06502325581395346,0.024500000369500067,0.05
2017-12-04 09:00:00,0.009,0.031,0.009,0.06223255813953487,0.026214285754659086,0.049
2017-12-04 09:30:00,0.019,0.014,0.019,0.045279069767441865,0.021375000153366387,0.063
2017-12-04 10:00:00,0.064,0.064,0.064,0.05930232558139536,0.01893750038263885,0.051
2017-12-04 10:30:00,0.015,0.023,0.015,0.04044186046511627,0.020900000090919343,0.009
2017-12-04 11:00:00,0.031,0.008,0.031,0.03444186046511627,0.021800000062694457,0.009
2017-12-04 11:30:00,0.207,0.009,0.207,0.04732558139534883,0.02043750030491252,0.009
2017-12-04 12:00:00,0.106,0.039,0.106,0.044883720930232546,0.020750000114282612,0.056
2017-12-04 12:30:00,0.049,0.048,0.049,0.050976744186046495,0.023200000070413663,0.042
2017-12-04 13:00:00,0.009,0.009,0.009,0.0489767441860465,0.01960000066572843,0.008
2017-12-04 13:30:00,0.03,0.128,0.03,0.05779069767441858,0.02156250006971835,0.089
2017-12-04 14:00:00,0.061,0.081,0.061,0.050023255813953484,0.021714285773747597,0.046
2017-12-04 14:30:00,0.017,0.089,0.017,0.04527906976744186,0.022200000137782522,0.046
2017-12-04 15:00:00,0.017,0.024,0.017,0.04972093023255816,0.020892857240815327,0.008
2017-12-04 15:30:00,0.045,0.255,0.045,0.057930232558139526,0.021937500165923267,0.009
2017-12-04 16:00:00,0.055,1.122,0.055,0.07593023255813953,0.030100000088764352,0.02
2017-12-04 16:30:00,0.018,1.211,0.018,0.07451162790697671,0.02812500017987041,0.134
2017-12-04 17:00:00,0.02,0.789,0.02,0.0961395348837209,0.024550002570240283,0.083
2017-12-04 17:30:00,0.083,0.211,0.083,0.11341860465116281,0.037100000375755476,0.063
2017-12-04 18:00:00,0.173,0.172,0.173,0.09411627906976745,0.027500000877472647,0.211
2017-12-04 18:30:00,0.135,0.153,0.135,0.08895348837209303,0.027800000577981095,0.115
2017-12-04 19:00:00,0.096,0.152,0.096,0.09413953488372093,0.045465516343793325,0.068
2017-12-04 19:30:00,0.025,0.111,0.025,0.07802325581395347,0.05885714215237541,0.092
2017-12-04 20:00:00,0.026,0.065,0.026,0.09944186046511626,0.06552940373896521,0.199
2017-12-04 20:30:00,0.049,0.031,0.049,0.058348837209302326,0.03610714312069048,0.038
2017-12-04 21:00:00,0.079,0.074,0.079,0.06990697674418604,0.02370588259309192,0.026
2017-12-04 21:30:00,0.034,0.16,0.034,0.054046511627906954,0.0358124970924303,0.059
2017-12-04 22:00:00,0.023,0.041,0.023,0.051325581395348846,0.03349999939658517,0.051
2017-12-04 22:30:00,0.014,0.04,0.014,0.04251162790697674,0.021687500077355027,0.065
2017-12-04 23:00:00,0.064,0.064,0.064,0.034604651162790684,0.021500000075326618,0.029
2017-12-04 23:30:00,0.02,0.027,0.02,0.035186046511627905,0.021666666727020223,0.055
2017-12-05 00:00:00,0.009,0.01,0.01,0.035295454545454547,0.021833333405767326,
2017-12-05 00:30:00,0.009,0.009,0.009,0.0373409090909091,0.021000000117061615,
2017-12-05 01:00:00,0.064,0.065,0.054,0.02943181818181818,0.01787500005462694,
2017-12-05 01:30:00,0.024,0.02,0.033,0.029,0.017875000043393565,
2017-12-05 02:00:00,0.009,0.009,0.009,0.04027272727272728,0.023750000435984617,
2017-12-05 02:30:00,0.011,0.015,0.01,0.03420454545454546,0.019100000071516153,
2017-12-05 03:00:00,0.064,0.063,0.026,0.027795454545454543,0.01650000002637462,
2017-12-05 03:30:00,0.02,0.018,0.062,0.03409090909090909,0.01837500009195323,
2017-12-05 04:00:00,0.009,0.009,0.009,0.04268181818181818,0.021500000228207347,
2017-12-05 04:30:00,0.009,0.01,0.009,0.03222727272727272,0.019875000077666,
2017-12-05 05:00:00,0.063,0.088,0.009,0.05420454545454545,0.021700000040620997,
2017-12-05 05:30:00,0.022,0.027,0.041,0.05147727272727273,0.023083333400583248,
2017-12-05 06:00:00,0.009,0.016,0.049,0.058068181818181824,0.024714285795256145,
2017-12-05 06:30:00,0.009,0.015,0.009,0.048,0.022857142899215407,
2017-12-05 07:00:00,0.183,0.061,0.009,0.05797727272727273,0.022428571703609606,
2017-12-05 07:30:00,0.112,0.067,0.026,0.05097727272727273,0.02241666676723572,
2017-12-05 08:00:00,0.009,0.046,0.07,0.05422727272727272,0.024100000155391814,
2017-12-05 08:30:00,0.021,0.05,0.186,0.07431818181818182,0.03203571437656748,
2017-12-05 09:00:00,0.063,0.049,0.062,0.07720454545454546,0.02531250027346416,
2017-12-05 09:30:00,0.015,0.063,0.058,0.06938636363636363,0.018875000744691707,
2017-12-05 10:00:00,0.1369999999999999,0.051,0.009,0.050840909090909096,0.021285714417704143,
2017-12-05 10:30:00,0.025,0.009,0.009,0.0734090909090909,0.02490476197733291,
2017-12-05 11:00:00,0.064,0.009,0.009,0.06070454545454545,0.02341666677343295,
2017-12-05 11:30:00,0.063,0.009,0.039,0.07456818181818183,0.021217391645887637,
2017-12-05 12:00:00,0.028,0.056,0.055,0.050295454545454546,0.024300000112627396,
2017-12-05 12:30:00,0.009,0.042,0.009,0.05418181818181818,0.023272727375430437,
2017-12-05 13:00:00,0.019,0.008,0.009,0.055545454545454544,0.02244444462206067,
2017-12-05 13:30:00,0.065,0.089,0.048,0.05452272727272727,0.019062500386232886,
2017-12-05 14:00:00,0.079,0.046,0.145,0.04220454545454545,0.022400000119345963,
2017-12-05 14:30:00,0.047,0.046,0.008,0.05511363636363636,0.019750000264458792,
2017-12-05 15:00:00,0.045,0.008,0.009,0.05877272727272728,0.019875000593165444,
2017-12-05 15:30:00,0.063,0.009,0.044,0.05665909090909091,0.023090909231849924,
2017-12-05 16:00:00,0.009,0.02,0.103,0.058340909090909096,0.02440000064071185,
2017-12-05 16:30:00,0.009,0.134,0.058,0.06256818181818181,0.037999999274385604,
2017-12-05 17:00:00,0.048,0.083,0.059,0.10795454545454546,0.05181034208516318,
2017-12-05 17:30:00,0.039,0.063,0.098,0.08068181818181817,0.028714286247622088,
2017-12-05 18:00:00,0.025,0.211,0.122,0.10909090909090907,0.03235714379296365,
2017-12-05 18:30:00,0.041,0.115,0.142,0.07979545454545454,0.02842857173222739,
2017-12-05 19:00:00,0.08,0.068,0.176,0.07922727272727272,0.02728571481942268,
2017-12-05 19:30:00,0.027,0.092,0.072,0.08488636363636363,0.03215000025248558,
2017-12-05 20:00:00,0.025,0.199,0.028,0.09997727272727273,0.031018519066687348,
2017-12-05 20:30:00,0.065,0.038,0.078,0.07222727272727272,0.030055556257772557,
2017-12-05 21:00:00,0.059,0.026,0.117,0.06631818181818182,0.052285712224361645,
2017-12-05 21:30:00,0.009,0.059,0.066,0.059954545454545455,0.0414999973947311,
2017-12-05 22:00:00,0.012,0.051,0.048,0.048522727272727266,0.019642857337606442,
2017-12-05 22:30:00,0.064,0.065,0.048,0.03709090909090909,0.022000000077593836,
2017-12-05 23:00:00,0.016,0.029,0.063,0.038136363636363635,0.019600000097297884,
2017-12-05 23:30:00,0.009,0.055,0.066,0.036000000000000004,0.01900000009033274,
2017-12-06 00:00:00,0.029,,0.032,0.03528571428571429,0.021600000055818924,0.01
2017-12-06 00:30:00,0.106,,0.009,0.034023809523809526,0.01790000011904891,0.009
2017-12-06 01:00:00,0.031,,0.009,0.033595238095238095,0.020666666727896497,0.009
2017-12-06 01:30:00,0.064,,0.037,0.031642857142857146,0.02000000008867856,0.057
2017-12-06 02:00:00,0.064,,0.053,0.03557142857142857,0.02200000004490785,0.03
2017-12-06 02:30:00,0.017,,0.009,0.035095238095238096,0.020625000050932533,0.01
2017-12-06 03:00:00,0.015,,0.009,0.03378571428571429,0.02050000005300893,0.009
2017-12-06 03:30:00,0.015,,0.009,0.02864285714285714,0.01700000003535153,0.078
2017-12-06 04:00:00,0.064,,0.062,0.03226190476190476,0.018500000069114796,0.029
2017-12-06 04:30:00,0.043,,0.03,0.03514285714285714,0.02050000006491711,0.062
2017-12-06 05:00:00,0.015,,0.009,0.03659523809523809,0.020500000087584895,0.062
2017-12-06 05:30:00,0.015,,0.009,0.04092857142857143,0.021187500033827477,0.037
2017-12-06 06:00:00,0.039,,0.02,0.0545952380952381,0.019764705949310866,0.009
2017-12-06 06:30:00,0.06,,0.064,0.05323809523809523,0.023107143141920826,0.009
2017-12-06 07:00:00,0.009,,0.011,0.057785714285714294,0.021159090947761278,0.07
2017-12-06 07:30:00,0.009,,0.091,0.04809523809523811,0.022600000131815373,0.135
2017-12-06 08:00:00,0.143,,0.029,0.05928571428571429,0.02363888896739399,0.072
2017-12-06 08:30:00,0.052,,0.038,0.05319047619047619,0.037499999504144545,0.028
2017-12-06 09:00:00,0.009,,0.048,0.07100000000000001,0.02395238108038266,0.009
2017-12-06 09:30:00,0.009,,0.009,0.075,0.024100000068085936,0.009
2017-12-06 10:00:00,0.052,,0.009,0.05119047619047619,0.021750000070145013,0.033
2017-12-06 10:30:00,0.035,,0.009,0.07661904761904761,0.019079546201859077,0.058
2017-12-06 11:00:00,0.009,,0.053,0.05947619047619048,0.022800000090990348,0.008
2017-12-06 11:30:00,0.032,,0.031,0.0633095238095238,0.02146875014016147,0.009
2017-12-06 12:00:00,0.06,,0.009,0.05330952380952381,0.02015000010968451,0.009
2017-12-06 12:30:00,0.009,,0.058,0.049690476190476195,0.02315000009441363,0.028
2017-12-06 13:00:00,0.009,,0.036,0.07238095238095238,0.020847222291690472,0.165
2017-12-06 13:30:00,0.055,,0.061,0.04264285714285715,0.021142857240692533,0.009
2017-12-06 14:00:00,0.031,,0.061,0.06152380952380952,0.019750000142862784,0.008
2017-12-06 14:30:00,0.09,,0.034,0.06828571428571428,0.023357143039194835,0.009
2017-12-06 15:00:00,0.113,,0.009,0.05061904761904762,0.022115384706718914,0.021
2017-12-06 15:30:00,0.039,,0.008,0.052238095238095236,0.025625000091606204,0.061
2017-12-06 16:00:00,0.065,,0.043,0.06471428571428571,0.022578947713652774,0.021
2017-12-06 16:30:00,0.065,,0.084,0.1,0.029125000271440382,0.01
2017-12-06 17:00:00,0.03,,0.12,0.14004761904761903,0.047333333424052514,0.066
2017-12-06 17:30:00,0.01,,0.581,0.14669047619047618,0.04411111122804727,0.11
2017-12-06 18:00:00,0.047,,0.246,0.14392857142857143,0.04735714351380937,0.189
2017-12-06 18:30:00,0.08,,0.156,0.1165952380952381,0.036000000375272394,0.084
2017-12-06 19:00:00,0.018,,0.215,0.09923809523809524,0.04881249925062896,0.122
2017-12-06 19:30:00,0.023,,0.079,0.07964285714285714,0.03318750074240571,0.122
2017-12-06 20:00:00,0.365,,0.074,0.08164285714285716,0.060499993835708955,0.088
2017-12-06 20:30:00,0.349,,0.117,0.0735,0.032090909277265434,0.072
2017-12-06 21:00:00,0.04,,0.109,0.06216666666666666,0.02691666725428091,0.099
2017-12-06 21:30:00,0.047,,0.039,0.05866666666666668,0.021416667679128917,0.093
2017-12-06 22:00:00,0.061,,0.022,0.05333333333333334,0.0202000003640235,0.018
2017-12-06 22:30:00,0.026,,0.073,0.037904761904761906,0.021750000105437338,0.009
2017-12-06 23:00:00,0.012,,0.031,0.0360952380952381,0.01937500021453745,0.009
2017-12-06 23:30:00,0.065,,0.011,0.04095238095238095,0.01975000022978124,0.045
2017-12-07 00:00:00,0.109,0.01,0.016,0.03152173913043479,0.017333333387225407,0.054
2017-12-07 00:30:00,0.03,0.009,0.064,0.030891304347826092,0.019000000075026294,0.016
2017-12-07 01:00:00,0.065,0.009,0.01,0.034434782608695653,0.0182500001313193,0.009
2017-12-07 01:30:00,0.063,0.057,0.009,0.03734782608695652,0.02100000021312944,0.01
2017-12-07 02:00:00,0.009,0.03,0.009,0.027021739130434784,0.01662500003212137,0.041
2017-12-07 02:30:00,0.009,0.01,0.055,0.03717391304347826,0.021833333429272853,0.049
2017-12-07 03:00:00,0.027,0.009,0.093,0.0382608695652174,0.01937500011095785,0.01
2017-12-07 03:30:00,0.064,0.078,0.021,0.02734782608695652,0.01750000006914771,0.009
2017-12-07 04:00:00,0.011,0.029,0.009,0.027586956521739127,0.018375000024099853,0.009
2017-12-07 04:30:00,0.009,0.062,0.023,0.03695652173913044,0.021166666753590947,0.05
2017-12-07 05:00:00,0.023,0.062,0.062,0.03954347826086956,0.01983333373193381,0.046
2017-12-07 05:30:00,0.063,0.037,0.061,0.05043478260869566,0.022250000066581233,0.01
2017-12-07 06:00:00,0.014,0.009,0.022,0.061782608695652164,0.02228947375996766,0.009
2017-12-07 06:30:00,0.008,0.009,0.009,0.05243478260869565,0.022214285773151314,0.013
2017-12-07 07:00:00,0.017,0.07,0.01,0.07119565217391305,0.02351785721674633,0.118
2017-12-07 07:30:00,0.075,0.135,0.008,0.06389130434782608,0.019545455025727833,0.135
2017-12-07 08:00:00,0.195,0.072,0.012,0.09271739130434783,0.025217391628132267,0.151
2017-12-07 08:30:00,0.091,0.028,0.063,0.08317391304347828,0.027208333949969507,0.084
2017-12-07 09:00:00,0.121,0.009,0.03,0.0878695652173913,0.03180000006770162,0.036
2017-12-07 09:30:00,0.111,0.009,0.01,0.05584782608695652,0.025500000260564797,0.063
2017-12-07 10:00:00,0.041,0.033,0.009,0.06686956521739129,0.022119047928977186,0.089
2017-12-07 10:30:00,0.047,0.058,0.009,0.07778260869565218,0.021181818666637417,0.032
2017-12-07 11:00:00,0.102,0.008,0.163,0.07052173913043477,0.021700000349997535,0.009
2017-12-07 11:30:00,0.077,0.009,0.189,0.08815217391304347,0.024267857256098774,0.009
2017-12-07 12:00:00,0.053,0.009,0.031,0.07491304347826086,0.022000000117709896,0.495
2017-12-07 12:30:00,0.072,0.028,0.01,0.09484782608695651,0.02168918936260623,0.065
